CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Score,RFM_Segment,RFM_Level_3,RFM_Level_5
12747,2,27,992.8199999999999,4,4,4,12,444,Top,Whale
12748,1,967,7522.059999999978,4,4,4,12,444,Top,Whale
12749,4,37,813.4499999999999,4,4,4,12,444,Top,Whale
12820,3,17,268.0200000000001,4,3,3,10,433,Top,Safe
12822,71,9,146.15,2,2,3,7,223,Middle,Middle
12823,297,1,306.0,1,1,3,5,113,Low,Concerning
12824,60,6,106.38000000000001,2,2,2,6,222,Middle,Concerning
12826,3,17,291.26000000000005,4,3,3,10,433,Top,Safe
12827,33,2,44.550000000000004,3,1,1,5,311,Low,Concerning
12828,8,12,195.4,4,3,3,10,433,Top,Safe
12829,337,2,95.80000000000001,1,1,2,4,112,Low,ImmediatelyAddress
12830,91,10,1727.92,2,3,4,9,234,Top,Safe
12832,32,5,67.4,3,2,2,7,322,Middle,Middle
12833,145,5,87.0,2,2,2,6,222,Middle,Concerning
12834,283,9,161.00000000000003,1,2,3,6,123,Middle,Concerning
12836,59,34,585.53,2,4,4,10,244,Top,Safe
12837,173,2,10.55,1,1,1,3,111,Low,ImmediatelyAddress
12838,34,22,89.41000000000001,3,4,2,9,342,Top,Safe
12839,3,59,1048.9299999999996,4,4,4,12,444,Top,Whale
12840,144,19,459.66,2,3,4,9,234,Top,Safe
12841,5,78,713.6499999999999,4,4,4,12,444,Top,Whale
12842,70,8,224.54000000000002,2,2,3,7,223,Middle,Middle
12843,160,22,385.55,1,4,4,9,144,Top,Safe
12844,29,7,38.05,3,2,1,6,321,Middle,Concerning
12845,269,4,221.1,1,1,3,5,113,Low,Concerning
12847,22,14,123.20999999999998,3,3,2,8,332,Middle,ImmediatelyAddress
12849,31,15,266.75,3,3,3,9,333,Top,Safe
12851,97,13,29.570000000000004,2,3,1,6,231,Middle,Concerning
12852,295,2,32.550000000000004,1,1,1,3,111,Low,ImmediatelyAddress
12853,135,12,234.48000000000002,2,3,3,8,233,Middle,ImmediatelyAddress
12854,79,21,319.01,2,3,3,8,233,Middle,ImmediatelyAddress
12856,8,64,402.4800000000001,4,4,4,12,444,Top,Whale
12857,211,11,283.85,1,3,3,7,133,Middle,Middle
12863,52,1,34.8,3,1,1,5,311,Low,Concerning
12864,138,1,17.4,2,1,1,4,211,Low,ImmediatelyAddress
12867,26,105,749.2899999999998,3,4,4,11,344,Top,Whale
12868,186,20,245.56,1,3,3,7,133,Middle,Middle
12871,84,5,70.74,2,2,2,6,222,Middle,Concerning
12872,327,19,185.89000000000001,1,3,3,7,133,Middle,Middle
12873,282,1,102.0,1,1,2,4,112,Low,ImmediatelyAddress
12877,4,33,232.71,4,4,3,11,443,Top,Whale
12878,236,8,174.3,1,2,3,6,123,Middle,Concerning
12879,92,2,70.80000000000001,2,1,2,5,212,Low,Concerning
12883,25,10,186.18,3,3,3,9,333,Top,Safe
12884,88,1,31.8,2,1,1,4,211,Low,ImmediatelyAddress
12885,63,20,361.4799999999999,2,3,4,9,234,Top,Safe
12886,68,12,212.39000000000001,2,3,3,8,233,Middle,ImmediatelyAddress
12890,24,13,53.87,3,3,1,7,331,Middle,Middle
12893,31,7,20.4,3,2,1,6,321,Middle,Concerning
12895,42,6,107.65,3,2,2,7,322,Middle,Middle
12901,10,28,3647.06,4,4,4,12,444,Top,Whale
12902,265,4,42.03,1,1,1,3,111,Low,ImmediatelyAddress
12904,18,15,64.55000000000001,4,3,2,9,432,Top,Safe
12906,12,16,494.87000000000006,4,3,4,11,434,Top,Whale
12909,88,19,624.2100000000002,2,3,4,9,234,Top,Safe
12910,64,12,481.26,2,3,4,9,234,Top,Safe
12912,8,3,162.36,4,1,3,8,413,Middle,ImmediatelyAddress
12913,5,12,617.78,4,3,4,11,434,Top,Whale
12915,149,7,108.9,2,2,2,6,222,Middle,Concerning
12916,139,24,699.38,2,4,4,10,244,Top,Safe
12919,8,6,133.74,4,2,2,8,422,Middle,ImmediatelyAddress
12920,17,3,23.4,4,1,1,6,411,Middle,Concerning
12921,9,122,2509.1399999999994,4,4,4,12,444,Top,Whale
12922,161,4,57.239999999999995,1,1,1,3,111,Low,ImmediatelyAddress
12923,64,9,59.49999999999999,2,2,2,6,222,Middle,Concerning
12924,88,6,220.83,2,2,3,7,223,Middle,Middle
12925,5,11,183.16000000000003,4,3,3,10,433,Top,Safe
12928,35,15,366.8,3,3,4,10,334,Top,Safe
12929,312,3,42.900000000000006,1,1,1,3,111,Low,ImmediatelyAddress
12930,78,6,97.51,2,2,2,6,222,Middle,Concerning
12931,22,19,8490.64,3,3,4,10,334,Top,Safe
12933,24,24,113.87,3,4,2,9,342,Top,Safe
12935,2,26,406.09999999999997,4,4,4,12,444,Top,Whale
12936,17,14,236.79000000000002,4,3,3,10,433,Top,Safe
12937,15,31,393.43,4,4,4,12,444,Top,Whale
12939,64,9,1680.6799999999998,2,2,4,8,224,Middle,ImmediatelyAddress
12940,55,22,207.07000000000002,2,4,3,9,243,Top,Safe
12942,131,17,128.51999999999998,2,3,2,7,232,Middle,Middle
12944,36,8,189.39999999999998,3,2,3,8,323,Middle,ImmediatelyAddress
12945,288,5,129.10000000000002,1,2,2,5,122,Low,Concerning
12947,144,21,263.69,2,3,3,8,233,Middle,ImmediatelyAddress
12948,44,23,372.78,3,4,4,11,344,Top,Whale
12949,31,42,748.02,3,4,4,11,344,Top,Whale
12950,2,4,471.6,4,1,4,9,414,Top,Safe
12951,9,8,157.29999999999998,4,2,3,9,423,Top,Safe
12952,6,18,291.27,4,3,3,10,433,Top,Safe
12953,10,4,76.3,4,1,2,7,412,Middle,Middle
12955,1,32,875.5200000000002,4,4,4,12,444,Top,Whale
12956,306,2,7.9,1,1,1,3,111,Low,ImmediatelyAddress
12957,10,50,814.7,4,4,4,12,444,Top,Whale
12962,7,3,40.45,4,1,1,6,411,Middle,Concerning
12963,8,16,320.62000000000006,4,3,3,10,433,Top,Safe
12965,89,16,102.1,2,3,2,7,232,Middle,Middle
12966,10,3,42.5,4,1,1,6,411,Middle,Concerning
12967,372,4,569.4,1,1,4,6,114,Middle,Concerning
12968,112,2,24.95,2,1,1,4,211,Low,ImmediatelyAddress
12970,7,30,72.78,4,4,2,10,442,Top,Safe
12971,15,55,2107.59,4,4,4,12,444,Top,Whale
12974,198,2,47.5,1,1,1,3,111,Low,ImmediatelyAddress
12976,212,5,203.68,1,2,3,6,123,Middle,Concerning
12977,156,1,0.65,1,1,1,3,111,Low,ImmediatelyAddress
12980,188,7,2463.5399999999995,1,2,4,7,124,Middle,Middle
12981,30,4,84.47999999999999,3,1,2,6,312,Middle,Concerning
12982,243,6,85.28999999999999,1,2,2,5,122,Low,Concerning
12984,19,1,19.8,4,1,1,6,411,Middle,Concerning
12985,1,12,174.82,4,3,3,10,433,Top,Safe
12987,74,3,45.4,2,1,1,4,211,Low,ImmediatelyAddress
12988,292,15,102.41999999999999,1,3,2,6,132,Middle,Concerning
12989,3,13,976.8000000000001,4,3,4,11,434,Top,Whale
12990,31,1,20.8,3,1,1,5,311,Low,Concerning
12991,23,4,77.7,3,1,2,6,312,Middle,Concerning
12993,23,10,154.14999999999998,3,3,3,9,333,Top,Safe
12994,4,15,212.45,4,3,3,10,433,Top,Safe
12997,22,10,165.37999999999997,3,3,3,9,333,Top,Safe
12999,205,2,21.9,1,1,1,3,111,Low,ImmediatelyAddress
13000,260,3,46.08,1,1,1,3,111,Low,ImmediatelyAddress
13001,4,67,2109.4799999999996,4,4,4,12,444,Top,Whale
13002,318,2,24.95,1,1,1,3,111,Low,ImmediatelyAddress
13004,12,80,1044.6299999999997,4,4,4,12,444,Top,Whale
13005,174,6,92.85000000000001,1,2,2,5,122,Low,Concerning
13006,56,3,77.00999999999999,2,1,2,5,212,Low,Concerning
13008,323,4,46.92,1,1,1,3,111,Low,ImmediatelyAddress
13011,372,1,17.700000000000003,1,1,1,3,111,Low,ImmediatelyAddress
13012,9,19,418.92,4,3,4,11,434,Top,Whale
13013,21,48,1051.7999999999997,3,4,4,11,344,Top,Whale
13014,11,26,680.6,4,4,4,12,444,Top,Whale
